model,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,cv_mean_fail_recall,cv_std_fail_recall,cv_mean_fail_f1,cv_std_fail_f1,cv_mean_roc_auc,cv_mean_average_precision,cv_mean_ber,cv_std_ber
LR + KernelPCA tuned,0.6110907610907611,0.040673745066663325,0.47089947089947093,0.10235736572567779,0.18778755596726882,0.02641111815328938,0.6782503504725726,0.1559962229534203,0.3889092389092389,0.040673745066663325
LR + SMOTE,0.6033713200379867,0.03697742938760971,0.30246913580246915,0.09087920903910775,0.2246718216148175,0.03526283201649027,0.6471623027178582,0.13221936640405804,0.39662867996201334,0.03697742938760971
LR + class_weight,0.6084825668159001,0.06267931829918195,0.3152557319223986,0.14505904802313993,0.22595061837412492,0.06359892210157012,0.6477818477818479,0.13315141438963454,0.39151743318409993,0.06267931829918195
RF + SelectKBest tuned,0.5384377967711301,0.024548194908915466,0.09567901234567901,0.05383343293990213,0.13682844932844931,0.07150496544835556,0.7350144711255823,0.23273050027679357,0.46156220322886987,0.024548194908915466
